Leave-cell type-out testing,leave-HCT116-out,leave-HEK293T-out,leave-HELA-out,leave-HL60-out
Experiment D,0.885,#,0.798,0.688
Experiment E,0.894,#,0.825,0.692
Experiment F,0.894,#,0.823,0.754
DeepCRISPR(CNN+pre-training+data augmentation),0.919,0.506,0.82,0.643
DeepCRISPR(Sequence feature-only),0.887,0.474,0.788,0.584
Retrained sgRNA Designer,0.72,0.457,0.636,0.556
sgRNA Designer,0.741,0.41,0.675,0.792
SSC,0.666,0.476,0.621,0.811
E-CRISP,0.661,0.47,0.624,0.755
CRISPR MultiTargeter,0.676,0.454,0.619,0.7
sgRNA Scorer,0.652,0.5,0.585,0.731
WU-CRISPR,0.621,0.495,0.598,0.588
CHOPCHOP,0.566,0.512,0.543,0.492
